pair_id,kind,label,concurrency,baseline_case,comparison_case,metric,baseline_value,comparison_value,absolute_change,percent_change
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,median_itl_ms,471.1611610837281,455.79652790911496,-15.36463317461314,-3.2610143712339554716053648846448080817127688596840
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,std_itl_ms,1277.3334493678242,1236.9245842641578,-40.4088651036664,-3.1635329931793056862243152840265832654204213450170
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p90_itl_ms,1707.9725128598513,1711.2636122852566,3.2910994254053,0.1926904209889561097427654640116014057810090307600
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p99_itl_ms,3914.0711166150777,4255.847447356213,341.7763307411353,8.7319908238332267357953528087527183100123922615800
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p99.9_itl_ms,9511.323718015867,11614.796826746622,2103.473108730755,22.115461223830105997530036723762911137129278169840
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,mean_e2el_ms,61679.553377613775,61977.88127538515,298.327897771375,0.4836738942400502631246997518243822385034451510300
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,median_e2el_ms,61305.74003071524,61704.70246882178,398.96243810654,0.6507750137371360213099225324222595638718742511400
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,std_e2el_ms,5963.705480425641,5445.632196616755,-518.073283808886,-8.6871037731378734120347308671970375570852948521470
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p90_e2el_ms,69318.72195214964,69114.73674494773,-203.98520720191,-0.29427144854563237260245486719564163746503639786800
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p99_e2el_ms,76526.44835690966,74906.41434347723,-1620.03401343243,-2.1169596240463122023892038944681981104712913315810
precision-4-c16,precision,TP=EP=DP4: W4A16 / W4A4 - 1,16,w4a4-tp4-ep4-dp4-c16,w4a16-tp4-ep4-dp4-c16,p99.9_e2el_ms,81330.1966333329,76524.98563972303,-4805.21099360987,-5.9082741620231997347058778112313384658166056622170
